,dataset,class,metric,model1,model2,p_value,median1,median2,median_diff
0,BrainLat,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.9310709862381882,0.9025757423756019,0.028495243862586284
1,BrainLat,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.906,0.9310709862381882,0.9311064718162839,-3.548557809573971e-05
2,BrainLat,Dementia (DE),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.9025757423756019,0.9311064718162839,-0.028530729440682023
3,NIFD,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.7163744877695288,0.5617376915067678,0.15463679626276106
4,NIFD,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.7163744877695288,0.7286246257402271,-0.012250137970698294
5,NIFD,Normal Cognition (NC),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.5617376915067678,0.7286246257402271,-0.16688693423345935
6,NACC,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.8516862350154355,0.6267848143903724,0.22490142062506313
7,NACC,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.8516862350154355,0.6158217598697586,0.23586447514567688
8,NACC,Dementia (DE),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.6267848143903724,0.6158217598697586,0.010963054520613746
9,BrainLat,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.4607719036981881,0.27908940186382314,0.18168250183436496
10,BrainLat,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.4607719036981881,0.3589426250317339,0.10182927866645419
11,BrainLat,Normal Cognition (NC),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.27908940186382314,0.3589426250317339,-0.07985322316791077
12,PPMI,Mild Cognitive Impairment (MCI),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.34539260177201003,0.20062746836353862,0.1447651334084714
13,PPMI,Mild Cognitive Impairment (MCI),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.34539260177201003,0.3190350475800726,0.026357554191937416
14,PPMI,Mild Cognitive Impairment (MCI),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.20062746836353862,0.3190350475800726,-0.118407579216534
15,PPMI,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.942737320182449,0.9575425118312693,-0.014805191648820215
16,PPMI,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.942737320182449,0.9480094766601816,-0.0052721564777326035
17,PPMI,Normal Cognition (NC),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.9575425118312693,0.9480094766601816,0.009533035171087612
18,ADNI,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.6607555681876118,0.6633823730324797,-0.0026268048448678805
19,ADNI,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.6607555681876118,0.6820643012108241,-0.021308733023212234
20,ADNI,Normal Cognition (NC),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.6633823730324797,0.6820643012108241,-0.018681928178344354
21,NIFD,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.6160832076894083,0.5080199881258658,0.10806321956354248
22,NIFD,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.6160832076894083,0.4750160051216389,0.1410672025677694
23,NIFD,Dementia (DE),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.5080199881258658,0.4750160051216389,0.03300398300422691
24,ADNI,Mild Cognitive Impairment (MCI),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.5908292673290796,0.5268147994251258,0.06401446790395382
25,ADNI,Mild Cognitive Impairment (MCI),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.5908292673290796,0.5702026913911626,0.020626575937916947
26,ADNI,Mild Cognitive Impairment (MCI),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.5268147994251258,0.5702026913911626,-0.04338789196603687
27,NACC,Mild Cognitive Impairment (MCI),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.4320698531110727,0.28354732138334204,0.14852253172773067
28,NACC,Mild Cognitive Impairment (MCI),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.4320698531110727,0.32534990023882027,0.10671995287225244
29,NACC,Mild Cognitive Impairment (MCI),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.28354732138334204,0.32534990023882027,-0.04180257885547822
30,PPMI,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.4203476027888561,0.1341951553348612,0.2861524474539949
31,PPMI,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.4203476027888561,0.5520361990950227,-0.13168859630616658
32,PPMI,Dementia (DE),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.1341951553348612,0.5520361990950227,-0.41784104376016146
33,ADNI,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.6850472912650252,0.5353745279981266,0.1496727632668986
34,ADNI,Dementia (DE),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.6850472912650252,0.7462962962962963,-0.061249005031271175
35,ADNI,Dementia (DE),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.5353745279981266,0.7462962962962963,-0.21092176829816978
36,BrainLat,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.6368205708081023,0.5904068274614729,0.0464137433466294
37,BrainLat,Dementia (DE),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.6368205708081023,0.6557179528922024,-0.01889738208410008
38,BrainLat,Dementia (DE),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.5904068274614729,0.6557179528922024,-0.06531112543072948
39,NACC,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.9237544766722412,0.9044850258385286,0.019269450833712565
40,NACC,Normal Cognition (NC),precision,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.9237544766722412,0.8940219339692859,0.029732542702955334
41,NACC,Normal Cognition (NC),precision,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.9044850258385286,0.8940219339692859,0.010463091869242769
42,PPMI,Mild Cognitive Impairment (MCI),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.6878374770356577,0.7549120745790354,-0.06707459754337775
43,PPMI,Mild Cognitive Impairment (MCI),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.6878374770356577,0.7489927451679365,-0.061155268132278784
44,PPMI,Mild Cognitive Impairment (MCI),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.7549120745790354,0.7489927451679365,0.005919329411098961
45,ADNI,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.7734347350526732,0.636608975555141,0.13682575949753228
46,ADNI,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-7B-Instruct,0.0,0.7734347350526732,0.7404440061921549,0.03299072886051835
47,ADNI,Normal Cognition (NC),recall,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,0.0,0.636608975555141,0.7404440061921549,-0.10383503063701394
48,PPMI,Normal Cognition (NC),recall,NACC-3B-OS-SCE,Qwen2.5-3B-Instruct,0.0,0.7718337485141047,0.42433578572899344,0.34749796278511125
