variable_id,code_1,code_2,descriptor
NACCID,<UND>,,Prefix NACC followed by 6 numerals
NACCADC,100,9999,
PACKET,I,,Initial Visit Packet
,F,,Follow-up Visit Packet
,IT,,Telephone Initial Visit Packet
,T,,Telephone Visit Packet
FORMVER,1,,
,2,,
,3,,
,3.2,,
VISITMO,1,12,
VISITDAY,1,31,
VISITYR,2005,<INF>,
NACCVNUM,1,20,
NACCAVST,1,20,
NACCNVST,1,20,
NACCDAYS,0,5000,
NACCFDYS,0,5000,
NACCDIED,0,,Not deceased/unknown
,1,,Deceased
NACCMOD,1,12,
,88,,"Not applicable, subject not deceased"
,99,,Unknown
NACCYOD,1970,<INF>,
,8888,,"Not applicable, subject not deceased"
,9999,,Unknown
NACCACTV,0,,"Died, discontinued, lost to follow-up"
,1,,Annual follow-up (no discontinuation/loss to follow-up or minimal contact)
,2,,"Minimal contact with Center, no annual follow-up"
NACCNOVS,0,,Still receiving annual follow-up in person or by telephone
,1,,No longer receiving annual follow-up in person or by telephone
,8,,"Not applicable, enrolled for initial visit only"
NACCDSMO,1,12,
,88,,"Not applicable, still followed annually in person or by telephone"
NACCDSDY,1,31,
,88,,"Not applicable, still followed annually in person or by telephone"
NACCDSYR,2005,<INF>,
,8888,,"Not applicable, still followed annually in person or by telephone"
NACCNURP,0,,Did not report permanent move to a nursing home
,1,,Permanently moved to a nursing home
NACCNRMO,1,12,
,88,,"Not applicable, no permanent move to a nursing home"
,99,,Unknown
NACCNRDY,1,31,
,88,,"Not applicable, no permanent move to a nursing home"
,99,,Unknown
NACCNRYR,2002,<INF>,
,8888,,"Not applicable, no permanent move to a nursing home"
,9999,,Unknown
NACCMDSS,1,,In the UDS and MDS
,2,,In the MDS only
,3,,In the UDS only
NACCPAFF,0,,Not previously affiliated subject
,1,,Previously affiliated subject
TELCOV,0,,No
,1,,Yes
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TELMOD,1,,Telephone
,2,,Video-assisted conference
,3,,Some combination of the two
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCREAS,1,,To participate in a research study
,2,,To have a clinical evaluation
,7,,"Both to participate in a research study and to have a clinical evaluation, or another reason"
,9,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCREFR,1,,Non-professional contact: self/relative/friend
,2,,"Professional contact: clinician, nurse, doctor, other health care provider, or other staff (ADC and non-ADC)"
,8,,Other
,9,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BIRTHMO,1,12,
BIRTHYR,1875,<INF>,
SEX,1,,Male
,2,,Female
HISPANIC,0,,No
,1,,Yes
,9,,Unknown
HISPOR,1,,"Mexican, Chicano, or Mexican-American"
,2,,Puerto Rican
,3,,Cuban
,4,,Dominican
,5,,Central American
,6,,South American
,50,,Other (specify)
,88,,Not applicable; subject is not Hispanic
,99,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HISPORX,<UND>,,Any text or numbers
RACE,1,,White
,2,,Black or African American
,3,,American Indian or Alaska Native
,4,,Native Hawaiian or Other Pacific Islander
,5,,Asian
,50,,Other (specify)
,99,,Unknown
RACEX,<UND>,,Any text or numbers
RACESEC,1,,White
,2,,Black or African American
,3,,American Indian or Alaska Native
,4,,Native Hawaiian or Other Pacific Islander
,5,,Asian
,50,,Other (specify)
,88,,None reported
,99,,Unknown
RACESECX,<UND>,,Any text or numbers
RACETER,1,,White
,2,,Black or African American
,3,,American Indian or Alaska Native
,4,,Native Hawaiian or Other Pacific Islander
,5,,Asian
,50,,Other (specify)
,88,,None reported
,99,,Unknown
RACETERX,<UND>,,Any text or numbers
PRIMLANG,1,,English
,2,,Spanish
,3,,Mandarin
,4,,Cantonese
,5,,Russian
,6,,Japanese
,8,,Other primary language (specify)
,9,,Unknown
PRIMLANX,<UND>,,Any text or numbers
EDUC,0,36,
,99,,Unknown
MARISTAT,1,,Married
,2,,Widowed
,3,,Divorced
,4,,Separated
,5,,Never married (or marriage was annulled)
,6,,Living as married/domestic partner
,9,,Other or unknown
NACCLIVS,1,,Lives alone
,2,,Lives with spouse or partner
,3,,Lives with relative or friend
,4,,Lives with group
,5,,Other
,9,,Unknown
INDEPEND,1,,Able to live independently
,2,,Requires some assistance with complex activities
,3,,Requires some assistance with basic activities
,4,,Completely dependent
,9,,Unknown
RESIDENC,1,,"Single- or multi-family private residence (apartment, condo, house)"
,2,,Retirement community or independent group living
,3,,"Assisted living, adult family home, or boarding home"
,4,,"Skilled nursing facility, nursing home, hospital, or hospice"
,9,,Other or unknown
HANDED,1,,Left-handed
,2,,Right-handed
,3,,Ambidextrous
,9,,Unknown
NACCAGE,18,120,
NACCAGEB,18,120,
NACCNIHR,1,,White
,2,,Black or African American
,3,,American Indian or Alaska Native
,4,,Native Hawaiian or Pacific Islander
,5,,Asian
,6,,Multiracial
,9,,Unknown or ambiguous
INBIRMO,1,12,
,99,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INBIRYR,1875,<INF>,
,9999,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INSEX,1,,Male
,2,,Female
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NEWINF,0,,No
,1,,Yes
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INHISP,0,,No
,1,,Yes
,9,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INHISPOR,1,,"Mexican, Chicano, or Mexican-American"
,2,,Puerto Rican
,3,,Cuban
,4,,Dominican
,5,,Central American
,6,,South American
,50,,Other (specify)
,88,,"Not applicable, co-participant is not Hispanic"
,99,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INHISPOX,<UND>,,Any text or numbers
INRACE,1,,White
,2,,Black or African American
,3,,American Indian or Alaska Native
,4,,Native Hawaiian or Other Pacific Islander
,5,,Asian
,50,,Other (specify)
,99,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INRACEX,<UND>,,Any text or numbers
INRASEC,1,,White
,2,,Black or African American
,3,,American Indian or Alaska Native
,4,,Native Hawaiian or Other Pacific Islander
,5,,Asian
,50,,Other
,88,,None reported
,99,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INRASECX,<UND>,,Any text or numbers
INRATER,1,,White
,2,,Black or African American
,3,,American Indian or Alaska Native
,4,,Native Hawaiian or Other Pacific Islander
,5,,Asian
,50,,Other
,88,,None reported
,99,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INRATERX,<UND>,,Any text or numbers
INEDUC,0,36,
,99,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INRELTO,1,,"Spouse, partner, or companion"
,2,,Child
,3,,Sibling
,4,,Other relative
,5,,"Friend, neighbor, or someone known through family, friends, work, or community"
,6,,"Paid caregiver, health care provider, or clinician"
,7,,Other
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INRELTOX,<UND>,,Any text or numbers
INKNOWN,0,120,
,999,,Unknown
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INLIVWTH,0,,No
,1,,Yes
,-4,,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INVISITS,1,,Daily
,2,,At least 3 times per week
,3,,Weekly
,4,,At least 3 times per month
,5,,Monthly
,6,,Less than once a month
,8,,"Not applicable, co-participant lives with subject"
