id,form_id,variable_type_id,source,descriptor
NACCID,U1,D,v1-3,Subject ID number
NACCADC,U1,D,v1-3,ADC at which subject was seen
PACKET,U1,O,v1-3,Packet code
FORMVER,U1,O,v1-3,Form version number
VISITMO,U1,O,v1-3,Form date - month
VISITDAY,U1,O,v1-3,Form date - day
VISITYR,U1,O,v1-3,Form date - year
NACCVNUM,U1,D,v1-3,UDS visit number (order)
NACCAVST,U1,D,v1-3,Total number of all UDS visits made
NACCNVST,U1,D,v1-3,Total number of in-person UDS visits made
NACCDAYS,U1,D,v1-3,Days from initial visit to most recent visit
NACCFDYS,U1,D,v1-3,Days from initial visit to each follow-up visit
NACCDIED,U2,D,v1-3,Subject is known to be deceased
NACCMOD,U2,D,v1-3,Month of death
NACCYOD,U2,D,v1-3,Year of death
NACCACTV,U2,D,v1-3,Follow-up status at the Alzheimer's Disease Center (ADC)
NACCNOVS,U2,D,v1-3,No longer followed annually in person or by telephone
NACCDSMO,U2,D,v1-3,Month of discontinuation from annual follow-up
NACCDSDY,U2,D,v1-3,Day of discontinuation from annual follow-up
NACCDSYR,U2,D,v1-3,Year of discontinuation from annual follow-up
NACCNURP,U2,D,v1-3,Permanently moved to a nursing home
NACCNRMO,U2,D,v1-3,Month permanently moved to nursing home
NACCNRDY,U2,D,v1-3,Day permanently moved to nursing home
NACCNRYR,U2,D,v1-3,Year permanently moved to nursing home
NACCMDSS,U2,D,v1-3,Subject's status in the Minimal Data Set (MDS) and Uniform Data Set (UDS)
NACCPAFF,U2,D,v1-3,Previously affiliated subject
TELCOV,T1,O,v3,Why is the UDS telephone follow-up protocol being used to obtain data about the subject? COVID pandemic precludes traditional in-person UDS visit.
TELMOD,T1,O,v3,What modality of communication was used to collect this remote UDS packet?
NACCREAS,A1,D,v1-3,Primary reason for coming to ADC
NACCREFR,A1,D,v1-3,Principal referral source
BIRTHMO,A1,O,v1-3,Subject's month of birth
BIRTHYR,A1,O,v1-3,Subject's year of birth
SEX,A1,O,v1-3,Subject's sex
HISPANIC,A1,O,v1-3,Hispanic/Latino ethnicity
HISPOR,A1,O,v1-3,Hispanic origins
HISPORX,A1,O,v1-3,"Hispanic origins, other - specify"
RACE,A1,O,v1-3,Race
RACEX,A1,O,v1-3,"Race, other - specify"
RACESEC,A1,O,v1-3,Second race
RACESECX,A1,O,v1-3,"Second race, other - specify"
RACETER,A1,O,v1-3,Third race
RACETERX,A1,O,v1-3,"Third race, other - specify"
PRIMLANG,A1,O,v1-3,Primary language
PRIMLANX,A1,O,v1-3,"Primary language, other- specify"
EDUC,A1,O,v1-3,Years of education
MARISTAT,A1,O,v1-3,Marital status
NACCLIVS,A1,D,v1-3,Living situation
INDEPEND,A1,O,v1-3,Level of independence
RESIDENC,A1,O,v1-3,Type of residence
HANDED,A1,O,v1-3,Is the subject left- or right-handed?
NACCAGE,A1,D,v1-3,Subject's age at visit
NACCAGEB,A1,D,v1-3,Subject's age at initial visit
NACCNIHR,A1,D,v1-3,Derived NIH race definitions
INBIRMO,A2,O,v1-3,Co-participant's month of birth
INBIRYR,A2,O,v1-3,Co-participant's year of birth
INSEX,A2,O,v1-3,Co-participant's sex
NEWINF,A2,O,v1-3,"Is this a new co-participant - i.e., one who was not a co-participant at any past UDS visit?"
INHISP,A2,O,v1-3,Co-participant Hispanic/Latino ethnicity
INHISPOR,A2,O,v1-3,Co-participant's Hispanic origins
INHISPOX,A2,O,v1-3,"Co-participant of Hispanic origins, other (specify)"
INRACE,A2,O,v1-3,Co-participant race
INRACEX,A2,O,v1-3,"Co-participant race, other (specify)"
INRASEC,A2,O,v1-3,Co-participant second race
INRASECX,A2,O,v1-3,"Co-participant second race, other (specify)"
INRATER,A2,O,v1-3,Co-participant third race
INRATERX,A2,O,v1-3,"Co-participant third race, other (specify)"
INEDUC,A2,O,v1-3,Co-participant's years of education
INRELTO,A2,O,v1-3,Co-participant's relationship to subject
INRELTOX,A2,O,v1-2,"Co-participant relationship, other (specify)"
INKNOWN,A2,O,v3,How long has the co-participant known the subject?
INLIVWTH,A2,O,v1-3,Does the co-participant live with the subject?
INVISITS,A2,O,v1-3,"If no, approximate frequency of in-person visits?"
INCALLS,A2,O,v1-3,"If no, approximate frequency of telephone contact?"
INRELY,A2,O,v1-3,Is there a question about the co-participant's reliability?
NACCNINR,A2,D,v1-3,Derived NIH race definitions
NACCFAM,A3,D,v1-3,Indicator of first-degree family member with cognitive impairment
NACCMOM,A3,D,v1-3,Indicator of mother with cognitive impairment
NACCDAD,A3,D,v1-3,Indicator of father with cognitive impairment
NACCFADM,A3,D,v3,"In this family, is there evidence of a dominantly inherited AD mutation?"
NACCAM,A3,D,v3,"In this family, is there evidence for an AD mutation (from list of specific mutations)?"
NACCAMX,A3,D,v3,"If yes, Other (specify)"
NACCAMS,A3,D,v3,Source of evidence for AD mutation
NACCAMSX,A3,D,v3,"If other, specify"
NACCFFTD,A3,D,v3,"In this family, is there evidence for an FTLD mutation?"
NACCFM,A3,D,v3,"In this family, is there evidence for an FTLD mutation (from list of specific mutations)?"
NACCFMX,A3,D,v3,"If yes, Other (specify)"
NACCFMS,A3,D,v3,Source of evidence for FTLD mutation
NACCFMSX,A3,D,v3,"If other, specify"
NACCOM,A3,D,v3,"In this family, is there evidence for a mutation other than an AD or FTLD mutation?"
NACCOMX,A3,D,v3,Specified other mutation
NACCOMS,A3,D,v3,Source of evidence for other mutation
NACCOMSX,A3,D,v3,"If other, specify"
ANYMEDS,A4,O,v1-3,Subject taking any medications
DRUG1-DRUG40,A4,O,v1-3,Name of medications used within two weeks of UDS visit
NACCAMD,A4,D,v1-3,Total number of medications reported at each visit
NACCAHTN,A4,D,v1-3,Reported current use of any type of antihypertensive or blood pressure medication
NACCHTNC,A4,D,v1-3,Reported current use of an antihypertensive combination therapy
NACCACEI,A4,D,v1-3,Reported current use of an angiotensin converting enzyme (ACE) inhibitor
NACCAAAS,A4,D,v1-3,Reported current use of an antiadrenergic agent
NACCBETA,A4,D,v1-3,Reported current use of a beta-adrenergic blocking agent (beta-blocker)
NACCCCBS,A4,D,v1-3,Reported current use of a calcium channel blocking agent
NACCDIUR,A4,D,v1-3,Reported current use of a diuretic
NACCVASD,A4,D,v1-3,Reported current use of a vasodilator
NACCANGI,A4,D,v1-3,Reported current use of an angiotensin II inhibitor
NACCLIPL,A4,D,v1-3,Reported current use of lipid lowering medication
NACCNSD,A4,D,v1-3,Reported current use of nonsteroidal anti-inflammatory medication
NACCAC,A4,D,v1-3,Reported current use of an anticoagulant or antiplatelet agent
NACCADEP,A4,D,v1-3,Reported current use of an antidepressant
NACCAPSY,A4,D,v1-3,Reported current use of an antipsychotic agent
NACCAANX,A4,D,v1-3,"Reported current use of an anxiolytic, sedative, or hypnotic agent"
NACCADMD,A4,D,v1-3,Reported current use of a FDA-approved medication for Alzheimer's disease symptoms
NACCPDMD,A4,D,v1-3,Reported current use of an antiparkinson agent
NACCEMD,A4,D,v1-3,Reported current use of estrogen hormone therapy
NACCEPMD,A4,D,v1-3,Reported current use of estrogen + progestin hormone therapy
NACCDBMD,A4,D,v1-3,Reported current use of a diabetes medication
TOBAC30,A5,O,v1-3,Smoked cigarettes in last 30 days
TOBAC100,A5,O,v1-3,Smoked more than 100 cigarettes in life
SMOKYRS,A5,O,v1-3,Total years smoked cigarettes
PACKSPER,A5,O,v1-3,Average number of packs smoked per day
QUITSMOK,A5,O,v1-3,"If the subject quit smoking, age at which he/she last smoked (i.e., quit)"
ALCOCCAS,A5,O,v3,"In the past three months, has the subject consumed any alcohol?"
